,Team,GP,TOI/GP,W,L,OTL,ROW,Points,Point %,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,xGF/60,xGA/60,xGF%,SCF/60,SCA/60,SCF%,SCSF/60,SCSA/60,SCSF%,SCGF/60,SCGA/60,SCSH%,SCSV%,HDCF/60,HDCA/60,HDCF%,HDSF/60,HDSA/60,HDSF%,HDGF/60,HDGA/60,MDCF/60,MDCA/60,MDCF%,MDSF/60,MDSA/60,MDSF%,MDGF/60,MDGA/60,LDCF/60,LDCA/60,LDCF%,LDSF/60,LDSA/60,LDSF%,LDGF/60,LDGA/60,LDSH%,LDSV%,SH%,SV%,PDO,Date
0,San Jose Sharks,1,47:31:00,0,1,0,0,0,0.0,55.56,63.14,46.81,42.93,39.14,52.31,29.04,29.04,50.0,1.26,5.05,2.57,4.26,37.62,22.73,40.41,36.0,12.63,22.73,35.71,1.26,5.05,10.0,77.78,10.1,17.68,36.36,6.31,11.36,35.71,0.0,1.26,12.63,22.73,35.71,6.31,11.36,35.71,1.26,3.79,26.52,21.47,55.26,13.89,6.31,68.75,0.0,0.0,0.0,100.0,4.35,82.61,0.87,2022-10-07
1,Nashville Predators,1,47:31:00,1,0,0,1,2,1.0,63.14,55.56,53.19,39.14,42.93,47.69,29.04,29.04,50.0,5.05,1.26,4.26,2.57,62.38,40.41,22.73,64.0,22.73,12.63,64.29,5.05,1.26,22.22,90.0,17.68,10.1,63.64,11.36,6.31,64.29,1.26,0.0,22.73,12.63,64.29,11.36,6.31,64.29,3.79,1.26,21.47,26.52,44.74,6.31,13.89,31.25,0.0,0.0,0.0,100.0,17.39,95.65,1.13,2022-10-07
2,Nashville Predators,1,46:45:00,1,0,0,1,2,1.0,50.05,57.75,46.43,32.09,38.5,45.45,17.97,28.24,38.89,3.85,1.28,1.44,2.64,35.35,23.1,34.65,40.0,11.55,19.25,37.5,3.85,1.28,33.33,93.33,6.42,12.83,33.33,5.13,10.27,33.33,2.57,0.0,16.68,21.82,43.33,6.42,8.98,41.67,1.28,1.28,24.39,23.1,51.35,5.13,8.98,36.36,0.0,0.0,0.0,100.0,21.43,95.45,1.169,2022-10-08
3,San Jose Sharks,1,46:45:00,0,1,0,0,0,0.0,57.75,50.05,53.57,38.5,32.09,54.55,28.24,17.97,61.11,1.28,3.85,2.64,1.44,64.65,34.65,23.1,60.0,19.25,11.55,62.5,1.28,3.85,6.67,66.67,12.83,6.42,66.67,10.27,5.13,66.67,0.0,2.57,21.82,16.68,56.67,8.98,6.42,58.33,1.28,1.28,23.1,24.39,48.65,8.98,5.13,63.64,0.0,0.0,0.0,100.0,4.55,78.57,0.831,2022-10-08
4,Tampa Bay Lightning,1,43:48:00,0,1,0,0,0,0.0,45.21,58.9,43.42,34.25,36.99,48.08,24.66,28.77,46.15,0.0,1.37,2.5,4.25,37.02,28.77,32.88,46.67,17.81,15.07,54.17,0.0,1.37,0.0,90.91,15.07,13.7,52.38,12.33,10.96,52.94,0.0,1.37,13.7,19.18,41.67,5.48,4.11,57.14,0.0,0.0,13.7,20.55,40.0,5.48,13.7,28.57,0.0,0.0,0.0,100.0,0.0,95.24,0.952,2022-10-11
5,New York Rangers,1,43:48:00,1,0,0,1,2,1.0,58.9,45.21,56.58,36.99,34.25,51.92,28.77,24.66,53.85,1.37,0.0,4.25,2.5,62.98,32.88,28.77,53.33,15.07,17.81,45.83,1.37,0.0,9.09,100.0,13.7,15.07,47.62,10.96,12.33,47.06,1.37,0.0,19.18,13.7,58.33,4.11,5.48,42.86,0.0,0.0,20.55,13.7,60.0,13.7,5.48,71.43,0.0,0.0,0.0,100.0,4.76,100.0,1.048,2022-10-11
6,Vegas Golden Knights,1,48:58:00,1,0,0,1,2,1.0,88.22,61.27,59.02,63.72,50.24,55.91,53.91,34.31,61.11,3.68,3.68,4.94,3.41,59.17,61.27,33.08,64.94,35.53,19.61,64.44,3.68,3.68,10.34,81.25,25.73,18.38,58.33,23.28,13.48,63.33,1.23,3.68,35.53,14.7,70.73,12.25,6.13,66.67,2.45,0.0,19.61,28.18,41.03,14.7,14.7,50.0,0.0,0.0,0.0,100.0,6.82,89.29,0.961,2022-10-11
7,Los Angeles Kings,1,48:58:00,0,1,0,0,0,0.0,61.27,88.22,40.98,50.24,63.72,44.09,34.31,53.91,38.89,3.68,3.68,3.41,4.94,40.83,33.08,61.27,35.06,19.61,35.53,35.56,3.68,3.68,18.75,89.66,18.38,25.73,41.67,13.48,23.28,36.67,3.68,1.23,14.7,35.53,29.27,6.13,12.25,33.33,0.0,2.45,28.18,19.61,58.97,14.7,14.7,50.0,0.0,0.0,0.0,100.0,10.71,93.18,1.039,2022-10-11
8,Boston Bruins,1,47:14:00,1,0,0,1,2,1.0,53.35,66.06,44.68,36.84,47.0,43.94,27.95,34.3,44.9,5.08,2.54,3.38,2.95,53.36,30.49,27.95,52.17,15.24,16.51,48.0,3.81,2.54,25.0,84.62,12.7,12.7,50.0,7.62,6.35,54.55,2.54,0.0,17.78,15.24,53.85,7.62,10.16,42.86,1.27,2.54,17.78,30.49,36.84,7.62,13.97,35.29,0.0,0.0,0.0,100.0,18.18,92.59,1.108,2022-10-12
9,Washington Capitals,1,47:14:00,0,1,0,0,0,0.0,66.06,53.35,55.32,47.0,36.84,56.06,34.3,27.95,55.1,2.54,5.08,2.95,3.38,46.64,27.95,30.49,47.83,16.51,15.24,52.0,2.54,3.81,15.38,75.0,12.7,12.7,50.0,6.35,7.62,45.45,0.0,2.54,15.24,17.78,46.15,10.16,7.62,57.14,2.54,1.27,30.49,17.78,63.16,13.97,7.62,64.71,0.0,0.0,0.0,100.0,7.41,81.82,0.892,2022-10-12
